,date,prices,polarity
0,2021-10-12,56041.05859375,0.16
1,2021-10-15,61593.94921875,0.0
2,2021-10-18,62026.078125,0.14
3,2021-10-19,64261.9921875,0.1
4,2021-10-27,58482.38671875,0.0
5,2021-10-29,62227.96484375,0.2
6,2021-11-10,64995.23046875,0.05833333333333333
7,2021-11-11,64949.9609375,0.049
8,2021-11-12,64155.94140625,0.144
9,2021-11-13,64469.52734375,0.0
10,2021-11-14,65466.83984375,0.29
11,2021-11-15,63557.87109375,0.062
12,2021-11-16,60161.24609375,0.041428571428571426
13,2021-11-17,60368.01171875,0.12727272727272726
14,2021-11-18,56942.13671875,0.10636363636363638
15,2021-11-19,58119.578125,0.156
16,2021-11-20,59697.1953125,0.09
17,2021-11-22,56289.2890625,0.07333333333333333
18,2021-11-23,57569.07421875,0.07555555555555556
19,2021-11-24,56280.42578125,0.16899999999999998
20,2021-11-25,57274.6796875,0.14
21,2021-11-26,53569.765625,0.013750000000000002
22,2021-11-29,57806.56640625,0.014444444444444446
23,2021-11-30,57005.42578125,0.02
24,2021-12-10,47243.3046875,0.11666666666666667
25,2021-12-11,49362.5078125,0.09
26,2021-12-13,46737.48046875,0.09272727272727273
27,2021-12-14,46612.6328125,-0.02090909090909091
28,2021-12-15,48896.72265625,0.008333333333333333
29,2021-12-16,47665.42578125,0.08888888888888889
30,2021-12-17,46202.14453125,-0.004444444444444445
31,2021-12-18,46848.77734375,0.11
32,2021-12-20,46880.27734375,0.12
33,2021-12-21,48936.61328125,0.028000000000000004
34,2021-12-22,48628.51171875,0.0625
35,2021-12-23,50784.5390625,3.0839528461809902e-18
36,2021-12-24,50822.1953125,0.028571428571428574
37,2021-12-25,50429.859375,0.0
38,2021-12-27,50640.41796875,0.011111111111111115
39,2021-12-28,47588.85546875,-0.032857142857142856
40,2021-12-29,46444.7109375,0.02125
41,2021-12-30,47178.125,0.02857142857142857
42,2021-12-31,46306.4453125,0.07833333333333332
43,2022-01-01,47686.8125,0.24000000000000002
44,2022-01-03,46458.1171875,0.036
45,2022-01-04,45897.57421875,0.06272727272727273
46,2022-01-05,43569.00390625,0.09333333333333334
47,2022-01-06,43160.9296875,0.03642857142857143
48,2022-01-07,41557.90234375,0.051818181818181826
49,2022-01-08,41733.94140625,-0.29
50,2022-01-10,41821.26171875,0.05538461538461538
51,2022-01-11,42735.85546875,-0.05
52,2022-01-12,43949.1015625,0.12125000000000001
53,2022-01-13,42591.5703125,0.05909090909090908
54,2022-01-14,43099.69921875,0.08205128205128205
55,2022-01-15,43177.3984375,0.1
56,2022-01-16,43113.87890625,0.046
57,2022-01-17,42250.55078125,0.0975
58,2022-01-18,42375.6328125,0.08317073170731708
59,2022-01-19,41744.328125,0.06489361702127659
60,2022-01-20,40680.41796875,0.03934782608695652
61,2022-01-21,36457.31640625,0.07875
62,2022-01-22,35030.25,0.04428571428571428
63,2022-01-23,36276.8046875,0.005555555555555557
64,2022-01-24,36654.328125,0.10032258064516128
65,2022-01-25,36954.00390625,0.08351351351351352
66,2022-01-26,36852.12109375,0.0780952380952381
67,2022-01-27,37138.234375,0.0949056603773585
68,2022-01-28,37784.33203125,0.08603773584905659
69,2022-01-29,38138.1796875,0.009375000000000005
70,2022-01-30,37917.6015625,0.05722222222222222
71,2022-01-31,38483.125,0.055
72,2022-02-01,38743.2734375,0.12280701754385964
73,2022-02-02,36952.984375,0.030377358490566036
74,2022-02-03,37154.6015625,0.039411764705882354
75,2022-02-04,41500.875,0.05431372549019608
76,2022-02-05,41441.1640625,0.06894736842105263
77,2022-02-06,42412.43359375,0.09529411764705883
78,2022-02-07,43840.28515625,0.052553191489361696
79,2022-02-08,44118.4453125,0.066
80,2022-02-09,44338.796875,0.08056603773584906
81,2022-02-10,43565.11328125,0.0687719298245614
82,2022-02-11,42407.9375,0.06959183673469388
83,2022-02-12,42244.46875,0.13192307692307692
84,2022-02-13,42197.515625,0.04470588235294118
85,2022-02-14,42586.91796875,0.08791666666666666
86,2022-02-15,44575.203125,0.09773584905660376
87,2022-02-16,43961.859375,0.03339285714285715
88,2022-02-17,40538.01171875,0.07490196078431373
89,2022-02-18,40030.9765625,0.04924528301886792
90,2022-02-19,40122.15625,0.1188235294117647
91,2022-02-20,38431.37890625,0.08777777777777779
92,2022-02-21,37075.28125,0.04790697674418605
93,2022-02-22,38286.02734375,0.0842
94,2022-02-23,37296.5703125,0.04857142857142858
95,2022-02-24,38332.609375,0.11148148148148149
96,2022-02-25,39214.21875,0.020869565217391306
97,2022-02-26,39105.1484375,0.10823529411764705
98,2022-02-27,37709.78515625,0.048666666666666664
99,2022-02-28,43193.234375,0.08265306122448979
100,2022-03-01,44354.63671875,0.09108695652173913
101,2022-03-02,43924.1171875,0.1080392156862745
102,2022-03-03,42451.7890625,-0.009827586206896551
103,2022-03-04,39137.60546875,0.059148936170212774
