,date,prices,sentiment
0,2019-01-01,3843.52001953125,0.0
1,2019-01-02,3943.409423828125,-0.9739031791687012
2,2019-01-03,3836.7412109375,0.0
3,2019-01-04,3857.717529296875,-0.8421764373779297
4,2019-01-05,3845.194580078125,0.0
5,2019-01-06,4076.632568359375,0.0
6,2019-01-07,4025.248291015625,0.9296048283576964
7,2019-01-08,4030.847900390625,0.0
8,2019-01-09,4035.29638671875,0.5313822627067566
9,2019-01-10,3678.924560546875,-0.9635329842567444
10,2019-01-11,3687.365478515625,-0.795876145362854
11,2019-01-12,3661.301025390625,0.7521030306816101
12,2019-01-13,3552.953125,0.0
13,2019-01-14,3706.05224609375,0.0
14,2019-01-15,3630.67529296875,-0.9577580094337464
15,2019-01-16,3655.0068359375,-0.9510596990585328
16,2019-01-17,3678.56396484375,0.0
17,2019-01-18,3657.83935546875,0.0
18,2019-01-19,3728.568359375,0.0
19,2019-01-20,3601.013671875,0.0
20,2019-01-21,3576.032470703125,-0.8954270482063293
21,2019-01-22,3604.5771484375,-0.7722862958908081
22,2019-01-23,3585.123046875,-0.9563550353050232
23,2019-01-24,3600.865478515625,0.8452339768409729
24,2019-01-25,3599.765869140625,0.9024938344955444
25,2019-01-26,3602.46044921875,0.8765278458595276
26,2019-01-27,3583.9658203125,0.0
27,2019-01-28,3470.450439453125,-0.9529044032096864
28,2019-01-29,3448.116943359375,-0.525062620639801
29,2019-01-30,3486.181640625,0.0
30,2019-01-31,3457.792724609375,0.836739182472229
31,2019-02-01,3487.9453125,0.0
32,2019-02-02,3521.060791015625,-0.8691341280937195
33,2019-02-03,3464.013427734375,0.0
34,2019-02-04,3459.154052734375,0.854590654373169
35,2019-02-06,3413.767822265625,0.0
36,2019-02-07,3399.4716796875,0.0
37,2019-02-08,3666.7802734375,0.5050879120826721
38,2019-02-09,3671.20361328125,0.0
39,2019-02-10,3690.188232421875,0.0
40,2019-02-12,3653.528564453125,-0.9465833902359008
41,2019-02-13,3632.070556640625,0.0
42,2019-02-14,3616.880859375,0.0
43,2019-02-15,3620.810791015625,0.0
44,2019-02-16,3629.78759765625,0.0
45,2019-02-17,3673.836181640625,0.0
46,2019-02-18,3915.71435546875,0.0
47,2019-02-19,3947.094482421875,-0.9738969802856444
48,2019-02-20,3999.820556640625,0.8396511673927307
49,2019-02-21,3954.1181640625,-0.9285836219787598
50,2019-02-22,4005.526611328125,0.8345688581466675
51,2019-02-23,4142.52685546875,0.0
52,2019-02-24,3810.427490234375,0.9007101058959961
53,2019-02-25,3882.6962890625,0.5324249267578125
54,2019-02-26,3854.35791015625,-0.907905638217926
55,2019-02-27,3851.04736328125,0.0
56,2019-02-28,3854.785400390625,0.5767883658409119
57,2019-03-01,3859.583740234375,0.0
58,2019-03-02,3864.4150390625,0.0
59,2019-03-03,3847.17578125,0.0
60,2019-03-04,3761.55712890625,0.0
61,2019-03-05,3896.375,0.897527813911438
62,2019-03-06,3903.942626953125,0.0
63,2019-03-07,3911.484375,-0.7844769358634949
64,2019-03-08,3901.131591796875,-0.922375738620758
65,2019-03-09,3963.313720703125,0.0
66,2019-03-10,3951.599853515625,0.0
67,2019-03-11,3905.227294921875,0.9259562492370604
68,2019-03-12,3909.15625,0.6424586176872253
69,2019-03-13,3906.71728515625,-0.943838596343994
70,2019-03-14,3924.369140625,-0.8450869917869568
71,2019-03-15,3960.9111328125,0.9188756942749025
72,2019-03-16,4048.725830078125,0.0
73,2019-03-17,4025.22900390625,0.0
74,2019-03-18,4032.50732421875,0.0
75,2019-03-19,4071.190185546875,-0.972353994846344
76,2019-03-20,4087.476318359375,0.7583786845207214
77,2019-03-21,4029.326904296875,0.8002959489822388
78,2019-03-22,4023.96826171875,0.6365923881530762
79,2019-03-23,4035.826416015625,0.0
80,2019-03-24,4022.168212890625,0.593329131603241
81,2019-03-25,3963.070556640625,-0.878716766834259
82,2019-03-26,3985.080810546875,-0.7215250134468079
83,2019-03-28,4069.107177734375,0.0
84,2019-03-29,4098.37451171875,0.0
85,2019-03-30,4106.66015625,0.0
86,2019-03-31,4105.404296875,0.9490411281585692
87,2019-04-01,4158.18310546875,0.9484758973121644
88,2019-04-02,4879.8779296875,0.927267611026764
89,2019-04-03,4973.02197265625,0.0
90,2019-04-04,4922.798828125,-0.9676456451416016
91,2019-04-05,5036.68115234375,0.0
92,2019-04-06,5059.8173828125,-0.8181415796279907
93,2019-04-07,5198.89697265625,0.0
94,2019-04-08,5289.77099609375,0.0
95,2019-04-09,5204.95849609375,0.9439645409584044
96,2019-04-10,5324.5517578125,0.0
97,2019-04-11,5064.48779296875,-0.96171897649765
98,2019-04-12,5089.5390625,-0.7025336623191833
99,2019-04-13,5096.58642578125,0.0
100,2019-04-14,5167.72216796875,0.0
101,2019-04-15,5067.1083984375,0.0
102,2019-04-16,5235.5595703125,-0.8761882781982422
103,2019-04-17,5251.93798828125,-0.4107584953308105
104,2019-04-18,5298.3857421875,0.9260751008987428
105,2019-04-19,5303.8125,0.580214262008667
106,2019-04-20,5337.88623046875,0.0
107,2019-04-21,5314.53125,0.0
108,2019-04-22,5399.365234375,0.0
109,2019-04-23,5572.3623046875,0.9363353848457336
110,2019-04-24,5464.86669921875,0.0
111,2019-04-25,5210.515625,-0.9268446564674376
112,2019-04-26,5279.34814453125,-0.8585739731788635
113,2019-04-27,5268.291015625,0.0
114,2019-04-28,5285.13916015625,0.0
115,2019-04-29,5247.3525390625,0.0
116,2019-04-30,5350.7265625,0.0
117,2019-05-01,5402.697265625,0.955507218837738
